Datetime,Ticker,Open,High,Low,Close
2017-01-02,NIFTY BANK.NSE_IDX,18242.3,18249.0,17844.9,17977.8
2017-01-03,NIFTY BANK.NSE_IDX,18002.8,18115.1,17830.9,18040.9
2017-01-04,NIFTY BANK.NSE_IDX,18037.4,18092.8,17868.9,17904.8
2017-01-05,NIFTY BANK.NSE_IDX,18000.8,18164.1,17977.8,18096.8
2017-01-06,NIFTY BANK.NSE_IDX,18168.4,18325.5,18157.3,18259.4
2017-01-09,NIFTY BANK.NSE_IDX,18301.8,18373.1,18256.2,18277.6
2017-01-10,NIFTY BANK.NSE_IDX,18351.4,18441.2,18275.8,18433.8
2017-01-11,NIFTY BANK.NSE_IDX,18535.3,18889.4,18515.3,18810.9
2017-01-12,NIFTY BANK.NSE_IDX,18885.4,18966.3,18805.8,18876.8
2017-01-13,NIFTY BANK.NSE_IDX,18949.7,18952.3,18781.3,18919.3
2017-01-16,NIFTY BANK.NSE_IDX,18899.7,19134.5,18865.3,19108.6
2017-01-17,NIFTY BANK.NSE_IDX,19128.2,19202.3,18981.8,19030.3
2017-01-18,NIFTY BANK.NSE_IDX,19074.8,19276.5,19072.1,19156.3
2017-01-19,NIFTY BANK.NSE_IDX,19165.3,19185.3,19046.1,19113.3
2017-01-20,NIFTY BANK.NSE_IDX,18996.6,19071.7,18793.1,18803.8
2017-01-23,NIFTY BANK.NSE_IDX,18762.0,18909.7,18722.8,18884.3
2017-01-24,NIFTY BANK.NSE_IDX,18931.0,19054.3,18906.9,19039.5
2017-01-25,NIFTY BANK.NSE_IDX,19120.1,19518.4,19114.2,19468.2
2017-01-27,NIFTY BANK.NSE_IDX,19588.4,19794.9,19534.9,19700.3
2017-01-30,NIFTY BANK.NSE_IDX,19718.8,19767.1,19561.1,19590.1
2017-01-31,NIFTY BANK.NSE_IDX,19533.2,19624.1,19435.4,19495.8
2017-02-01,NIFTY BANK.NSE_IDX,19522.4,20044.8,19470.9,20036.0
2017-02-02,NIFTY BANK.NSE_IDX,20053.9,20146.9,19915.2,20018.1
2017-02-03,NIFTY BANK.NSE_IDX,20061.9,20229.7,20009.9,20183.1
2017-02-06,NIFTY BANK.NSE_IDX,20307.2,20462.4,20298.1,20377.2
2017-02-07,NIFTY BANK.NSE_IDX,20367.3,20426.9,20281.5,20308.3
2017-02-08,NIFTY BANK.NSE_IDX,20335.3,20362.8,20070.2,20325.9
2017-02-09,NIFTY BANK.NSE_IDX,20350.3,20406.6,20000.3,20174.3
2017-02-10,NIFTY BANK.NSE_IDX,20225.8,20310.0,20167.1,20209.9
2017-02-13,NIFTY BANK.NSE_IDX,20273.7,20308.7,20116.9,20257.3
2017-02-14,NIFTY BANK.NSE_IDX,20304.5,20314.1,20158.8,20255.2
2017-02-15,NIFTY BANK.NSE_IDX,20282.1,20368.2,20115.8,20158.3
2017-02-16,NIFTY BANK.NSE_IDX,20243.3,20295.6,20088.2,20255.7
2017-02-17,NIFTY BANK.NSE_IDX,20918.4,21042.3,20449.7,20544.8
2017-02-20,NIFTY BANK.NSE_IDX,20494.8,20702.6,20472.4,20675.2
2017-02-21,NIFTY BANK.NSE_IDX,20695.9,20903.3,20619.3,20845.6
2017-02-22,NIFTY BANK.NSE_IDX,20937.6,20958.3,20829.7,20859.4
2017-02-23,NIFTY BANK.NSE_IDX,20887.7,21011.9,20828.4,20852.8
2017-02-27,NIFTY BANK.NSE_IDX,20853.4,20853.4,20584.8,20598.6
2017-02-28,NIFTY BANK.NSE_IDX,20632.8,20681.3,20560.6,20613.3
2017-03-01,NIFTY BANK.NSE_IDX,20683.7,20833.8,20678.8,20788.4
2017-03-02,NIFTY BANK.NSE_IDX,20879.2,20905.0,20516.9,20539.7
2017-03-03,NIFTY BANK.NSE_IDX,20567.5,20567.5,20423.3,20514.6
2017-03-06,NIFTY BANK.NSE_IDX,20544.2,20727.5,20532.2,20673.2
2017-03-07,NIFTY BANK.NSE_IDX,20678.4,20701.3,20585.9,20631.3
2017-03-08,NIFTY BANK.NSE_IDX,20627.6,20715.2,20534.3,20698.8
2017-03-09,NIFTY BANK.NSE_IDX,20606.2,20780.3,20603.9,20731.4
2017-03-10,NIFTY BANK.NSE_IDX,20824.3,20876.9,20648.8,20758.8
2017-03-14,NIFTY BANK.NSE_IDX,21180.2,21274.4,21059.7,21066.3
2017-03-15,NIFTY BANK.NSE_IDX,21087.3,21216.9,21063.9,21162.6
2017-03-16,NIFTY BANK.NSE_IDX,21257.1,21289.8,21194.3,21262.8
2017-03-17,NIFTY BANK.NSE_IDX,21313.0,21316.8,21127.9,21176.2
2017-03-20,NIFTY BANK.NSE_IDX,21179.2,21183.2,21084.8,21116.8
2017-03-21,NIFTY BANK.NSE_IDX,21108.3,21146.5,20967.0,21051.1
2017-03-22,NIFTY BANK.NSE_IDX,20800.2,20899.0,20753.9,20777.1
2017-03-23,NIFTY BANK.NSE_IDX,20871.1,20934.8,20775.3,20882.2
2017-03-24,NIFTY BANK.NSE_IDX,20986.4,21174.1,20929.2,21124.8
2017-03-27,NIFTY BANK.NSE_IDX,21126.8,21174.9,20979.6,21042.2
2017-03-28,NIFTY BANK.NSE_IDX,21221.1,21264.9,21145.0,21230.3
2017-03-29,NIFTY BANK.NSE_IDX,21282.9,21418.6,21255.8,21406.4
2017-03-30,NIFTY BANK.NSE_IDX,21359.0,21696.0,21331.9,21581.6
2017-03-31,NIFTY BANK.NSE_IDX,21538.2,21574.2,21414.0,21430.9
2017-04-03,NIFTY BANK.NSE_IDX,21522.6,21565.4,21408.6,21537.3
2017-04-05,NIFTY BANK.NSE_IDX,21590.4,21699.3,21499.8,21613.8
2017-04-06,NIFTY BANK.NSE_IDX,21558.2,21674.0,21488.9,21583.5
2017-04-07,NIFTY BANK.NSE_IDX,21515.7,21616.8,21397.0,21434.7
2017-04-10,NIFTY BANK.NSE_IDX,21480.3,21552.1,21396.1,21535.7
2017-04-11,NIFTY BANK.NSE_IDX,21520.7,21753.3,21483.6,21703.7
2017-04-12,NIFTY BANK.NSE_IDX,21726.3,21787.1,21551.8,21654.8
2017-04-13,NIFTY BANK.NSE_IDX,21648.2,21758.8,21627.0,21680.4
2017-04-17,NIFTY BANK.NSE_IDX,21698.3,21743.3,21576.8,21654.4
2017-04-18,NIFTY BANK.NSE_IDX,21712.9,21947.0,21634.2,21651.5
2017-04-19,NIFTY BANK.NSE_IDX,21661.3,21706.3,21470.2,21585.1
2017-04-20,NIFTY BANK.NSE_IDX,21435.9,21558.8,21396.0,21498.9
2017-04-21,NIFTY BANK.NSE_IDX,21568.9,21614.6,21386.2,21575.0
2017-04-24,NIFTY BANK.NSE_IDX,21586.2,21884.8,21578.7,21858.0
2017-04-25,NIFTY BANK.NSE_IDX,21978.9,22093.3,21900.3,22082.2
2017-04-26,NIFTY BANK.NSE_IDX,22158.7,22276.1,21814.9,22242.9
2017-04-27,NIFTY BANK.NSE_IDX,22262.3,22380.8,22169.8,22262.2
2017-04-28,NIFTY BANK.NSE_IDX,22290.9,22383.0,22182.6,22349.8
2017-05-02,NIFTY BANK.NSE_IDX,22425.4,22492.2,22266.2,22361.2
